First Name,Last Name,Job Title,Company
Ismail,Yassin,Cloud Engineer,Yacht
First Name,Last Name,Job Title,Company
iy,yi,st,techg
First Name,Last Name,Job Title,Company
iy,yi,std,techg
First Name,Last Name,Job Title,Company
ismail,yas,student,techgrounds
First Name,Last Name,Job Title,Company
& C:/Users/TG/AppData/Local/Microsoft/WindowsApps/PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0/python.exe c:/Users/TG/Documents/GitHub/cloud8-yismailmo/PYTHON/scripts/key_value-pairs.py,& C:/Users/TG/AppData/Local/Microsoft/WindowsApps/PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0/python.exe c:/Users/TG/Documents/GitHub/cloud8-yismailmo/PYTHON/scripts/key_value-pairs.py,& C:/Users/TG/AppData/Local/Microsoft/WindowsApps/PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0/python.exe c:/Users/TG/Documents/GitHub/cloud8-yismailmo/PYTHON/scripts/key_value-pairs.py,& C:/Users/TG/AppData/Local/Microsoft/WindowsApps/PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0/python.exe c:/Users/Public/Pictures/exapmleowrep0/PYTHON/pls_fix/7.py
First Name,Last Name,Job Title,Company
ismail,yas,student,techgrounds
